,prcod,prccd,prchd,prcld,cshtrd,tic,ajexdi,datadate
2019-08-26,47.99,49.605384615384615,49.97,47.53,5513510.25,ATVI,1.0,20190826
2019-08-27,49.60907692307692,51.901423487544484,52.22,49.6,18401117.40035587,ATVI,1.0,20190827
2019-08-28,51.90272241992883,50.60023391812865,51.93,49.54,7906906.65812366,ATVI,1.0,20190828
2019-08-29,50.60187134502924,51.39230769230769,51.44,50.26,6623853.441520467,ATVI,1.0,20190829
2019-08-30,51.393846153846155,50.6285478206982,51.5,50.17,11230914.675067134,ATVI,1.0,20190830
2019-09-02,50.62852716380913,50.4425,50.62852716380913,50.4425,244583.0749328651,ATVI,1.0,20190902
2019-09-03,50.436875,51.96670731707317,52.08487804878049,50.08,6589060.225609756,ATVI,1.0,20190903
2019-09-04,51.88780487804878,54.58717948717949,54.58717948717949,51.8,10263225.524390243,ATVI,1.0,20190904
2019-09-05,54.58974358974359,54.85,56.5966,53.76,11895850.58252427,ATVI,1.0,20190905
2019-09-06,54.85,54.93105263157894,55.06,54.0,8233874.970107307,ATVI,1.0,20190906
2019-09-09,54.92315789473684,54.76365714285714,55.55,54.19,11494692.825939849,ATVI,1.0,20190909
2019-09-10,55.13518571428572,56.03,56.15,54.27,8639455.711472495,ATVI,1.0,20190910
2019-09-11,56.03,56.0,56.77,54.41,9960453.409956075,ATVI,1.0,20190911
2019-09-12,56.0,55.614469357249625,57.52,54.91,11008193.236920781,ATVI,1.0,20190912
2019-09-13,55.61467862481315,55.43025641025641,56.02,55.315,6736676.532309992,ATVI,1.0,20190913
2019-09-16,55.44282051282052,55.72023448275862,56.0,55.03,7048239.079045095,ATVI,1.0,20190916
2019-09-17,55.73724137931034,55.306875,55.8,54.77,7229653.932974137,ATVI,1.0,20190917
2019-09-18,55.3,54.99094890510949,55.55,54.13,6161450.2114507295,ATVI,1.0,20190918
2019-09-19,54.99071167883212,55.05202352941176,55.59,54.64,6061879.027299272,ATVI,1.0,20190919
2019-09-20,55.0518,54.50858912982258,55.48,54.46,7978718.837504929,ATVI,1.0,20190920
2019-09-23,54.508518727119124,54.66952380952381,54.9,53.67,4710615.118685548,ATVI,1.0,20190923
2019-09-24,54.69428571428571,53.754823348694316,55.66,53.41,8458668.659754228,ATVI,1.0,20190924
2019-09-25,53.754162826420895,54.9425198938992,55.04,53.58,8543514.602435112,ATVI,1.0,20190925
2019-09-26,54.94249336870026,54.297714285714285,55.24,54.0,7212951.547334472,ATVI,1.0,20190926
2019-09-27,54.29714285714285,52.491557377049176,54.99,52.05,8134596.271662764,ATVI,1.0,20190927
2019-09-30,52.494918032786885,53.25,53.35,52.31,8715011.109289618,ATVI,1.0,20190930
2019-10-01,53.25333333333333,51.98,53.6,51.98,9676521.333333334,ATVI,1.0,20191001
2019-10-02,52.0,51.28037520391517,52.78,50.25,14780681.588091355,ATVI,1.0,20191002
2019-10-03,52.25115823817292,53.98391176470588,54.77,51.15,16578786.641320407,ATVI,1.0,20191003
2019-10-04,53.98388235294117,55.56612903225807,58.0,53.9,10899614.528652754,ATVI,1.0,20191004
2019-10-07,55.56580645161291,55.124489795918365,55.89,54.56,6746762.905200789,ATVI,1.0,20191007
2019-10-08,55.25612244897959,54.13,56.0,53.76,7437305.8367346935,ATVI,1.0,20191008
2019-10-09,54.126000000000005,53.4209756097561,54.75,52.7,9346096.012195121,ATVI,1.0,20191009
2019-10-10,53.44682926829268,54.39390243902439,54.54,51.45,9219846.487804879,ATVI,1.0,20191010
2019-10-11,54.39512195121951,54.772,55.4,54.15,8909825.0,ATVI,1.0,20191011
2019-10-14,54.758,55.3986013986014,55.5,53.8,6124212.3496503495,ATVI,1.0,20191014
2019-10-15,55.40097902097902,55.3,55.75,54.16,7216184.565924615,ATVI,1.0,20191015
2019-10-16,55.32023289665211,55.59365384615385,55.94,55.0,6256236.815194268,ATVI,1.0,20191016
2019-10-17,55.59384615384616,55.402052877138416,56.46,55.35,6564344.084938389,ATVI,1.0,20191017
2019-10-18,55.41119751166407,54.78798436142485,55.82,53.3752,10608300.982728522,ATVI,1.0,20191018
2019-10-21,54.79800173761946,55.55,55.85,54.63,6109307.002019092,ATVI,1.0,20191021
2019-10-22,55.55,54.43055480378891,56.08,53.9,4615219.530397268,ATVI,1.0,20191022
2019-10-23,,,,,0.0,ATVI,1.0,20191023
2018-10-23,251.56,249.89694267515924,251.56,248.36,238.04458598726117,ADBE,1.0,20181023
